source_url,title,paragraphs,agreement_codes,primary_pdf,other_pdfs
https://www.state.gov/multilateral-25-117.2,Multilateral (25-117.2) – Agreement for Cooperation Related to Naval Nuclear Propulsion,"We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | January 17, 2025 | Defense: Atomic Energy | Signed at Washington August 5, 2024; entered into force January 17, 2025. | With Annexes and Understanding. | Tags",,https://www.state.gov/wp-content/uploads/2025/05/25-117.2-AUKUS-Defense-Atomic-Energy.pdf,
https://www.state.gov/estonia-25-107,Estonia (25-107) – Agreement Concerning the Sharing of Certain Assets Forfeited in United States v. Danske Bank,"We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | January 7, 2025 | Law Enforcement: Asset Sharing | Signed at Washington January 7, 2025; entered into force January 7, 2025. | Tags",,https://www.state.gov/wp-content/uploads/2025/04/25-107-Estonia-Law-Enforcement-Asset-Sharing.pdf,
https://www.state.gov/philippines-25-319,Philippines (25-319) – Agreement Concerning Security Measures for the Protection of Classified Military Information,"We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | March 19, 2025 | Defense: Security of Information | Signed at Quezon City November 18, 2024; entered into force March 19, 2025. | With Appendix. | Tags",,https://www.state.gov/wp-content/uploads/2025/05/25-319-Phillipines-Defense-Security-of-Information.pdf,
https://www.state.gov/spain-25-110.1,Spain (25-110.1) – Agreement on Cooperation Concerning the Deployment of In-Flight Security Officers,"We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | January 10, 2025 | Transportation:  Aviation Security | Signed at Madrid December 29, 2022; entered into force January 10, 2025. | Tags",,https://www.state.gov/wp-content/uploads/2025/05/25-110.1-Spain-Air-Marshals.pdf,
https://www.state.gov/indonesia_25-117,"Indonesia (25-117) – Amendment to Agreement Regarding a Debt-for-Nature Swap, as amended","We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | January 17, 2025 | Finance: Debt | Signed at Jakarta January 17, 2025; entered into force January 17, 2025. | Amendment of agreement signed July 3, 2024: | TIAS 24-703 | . | Tags",24-703,https://www.state.gov/wp-content/uploads/2025/04/25-117-Indonesia-Finance-Debt-1.pdf,
https://www.state.gov/denmark-25-204,Denmark (25-204) – Defense Assistance Agreement,"We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | February 4, 2025 | Defense: Assistance | Exchange of Notes at Copenhagen December 16, 2024 and February 4, 2025; entered into force February 4, 2025. | Tags",,https://www.state.gov/wp-content/uploads/2025/05/25-204-Denmark-Defense-Assistance.pdf,
https://www.state.gov/nigeria-25-110,"Nigeria (25-110) – Agreement Regarding the Transfer, Repatriation, Disposition and Management of Certain Assets Forfeited to the United States","We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | January 10, 2025 | Law Enforcement: Asset Sharing | Signed at Abuja January 10, 2025; entered into force January 10, 2025. | Tags",,https://www.state.gov/wp-content/uploads/2025/04/25-110-Nigeria-Law-Enforcement-Asset-Sharing.pdf,
https://www.state.gov/uruguay-25-224,Uruguay (25-224) – Agreement on Enhancing Cooperation in Preventing and Combating Serious Crime,"We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | February 24, 2025 | Law Enforcement: PCSC | Signed at Montevideo August 16, 2024; entered into force February 24, 2025. | Tags",,https://www.state.gov/wp-content/uploads/2025/05/25-224-Uruguay-Law-Enforcement-PCSC.pdf,
https://www.state.gov/canada-25-117.1,Canada (25-117.1) – Amendment to Agreement for the Sharing of Visa and Immigration Information,"We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | January 17, 2025 | Consular Affairs: Passports and Visas | Signed at Ottawa July 19, 2024; entered into force January 17, 2025. | Amendment of agreement signed December 13, 2012: | TIAS 13-1121 | . | Tags",13-1121,https://www.state.gov/wp-content/uploads/2025/04/25-117.1-Canada-Consular-Affairs-Passports-and-Visas.pdf,
https://www.state.gov/euratom-24-325,EURATOM (24-325) – Agreement for the Exchange of Technical Information and Cooperation in Nuclear Safety Matters,"We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | We use cookies to make our website work better and improve your experience. By continuing to use the site, you agree to our privacy policy. | Official websites use .gov | Secure .gov websites use HTTPS | Countries & | Areas | Bureaus & | Offices | About | Mission | History | Administrative | Leadership | Directories | TIAS | Office of Treaty Affairs | March 25, 2024 | Nuclear Energy: Safety | Signed at Rockville and Brussels March 12 and 25, 2024; entered into force March 25, 2024. | Tags",,https://www.state.gov/wp-content/uploads/2024/09/24-325-EURATOM-Nuclear-Energy-Safety-FH-revision.pdf,
